Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Chad Ramey,-,MC,MC,17,MC,-,50,2^^,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,5500,Further details,225/1,Bet 365,Further details
Richard T. Lee,-,8^,-,-,-,MC^,MC^,39^,3^,-,3^,16^,-,-,-,-,-,-,-,-,-,MC,-,-,5500,Further details,250/1,Bet 365,Further details
David Lipsky,-,42,MC,MC,58,-,MC,23^^,MC,MC,-,9,-,-,-,-,-,-,-,-,-,-,MC,MC,5400,Further details,500/1,Bet 365,Further details
Aaron Cockerill,55,-,37,55,-,-,-,-,MC,-,-,22,-,-,-,-,-,-,-,-,-,-,48,MC,5400,Further details,300/1,Bet 365,Further details
Kevin Streelman,32,MC,26,-,45,-,-,MC^^,MC,36,-,50,-,34,73,-,-,-,MC,-,-,-,-,-,5400,Further details,275/1,Bet 365,Further details
Rico Hoey,32,-,54,MC,14,-,33,MC^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,Further details,300/1,Bet 365,Further details
Wil Bateman,MC^,-,-,-,14^,-,-,-,-,-,60^,48^,-,-,-,-,-,-,-,-,-,-,-,-,5400,Further details,500/1,Bet 365,Further details
Lanto Griffin,-,-,-,57,51,-,36,-,MC,66,-,MC^,-,-,-,-,-,-,-,-,69,-,-,MC,5400,Further details,300/1,Bet 365,Further details
Matthew Anderson,-,-,-,3^,-,-,1^,18^,47^,-,3^,-,-,-,-,-,-,-,-,-,-,MC,-,-,5400,Further details,300/1,Bet 365,Further details
Austin Cook,10,-,MC,53,37^,-,MC,MC^^,20,MC,-,-,-,-,-,-,-,7,-,-,-,MC,13,MC,5400,Further details,TBC,Bet 365,Further details
Paul Barjon,MC,-,MC,MC,MC,-,MC,4^^,MC,54,-,-,-,-,-,-,-,-,-,-,-,20,46,-,5300,Further details,300/1,Bet 365,Further details
Ryan Palmer,-,-,54,74,MC,-,55,19^^,MC,-,-,MC,-,-,19,31,-,41,43,MC,22,35,-,-,5300,Further details,400/1,Bet 365,Further details
Roger Sloan,55,-,49,45,MC,-,MC,MC^^,MC,40,-,-,-,MC,-,52,-,MC,-,-,37,56,MC,34,5300,Further details,500/1,Bet 365,Further details
Ryan McCormick,58,-,MC,MC,82,-,MC,MC^^,41,4,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,350/1,Bet 365,Further details
Wilson Furr,MC,-,MC,36,MC,-,55,MC^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,400/1,Bet 365,Further details
Trace Crowe,MC,-,MC,MC,WD,-,11,MC^^,MC,32,-,22^,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,300/1,Bet 365,Further details
Hayden Springer,3,-,72,MC,58,-,MC,MC^^,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,300/1,Bet 365,Further details
Zac Blair,-,54,MC,MC,MC,-,-,4^^,MC,-,53,MC,-,-,-,-,-,70,MC,MC,50,-,-,-,5300,Further details,400/1,Bet 365,Further details
Brandt Snedeker,MC,-,MC,MC,72,-,-,40^^,48,MC,-,MC,-,-,34,1,25,-,5,-,8,4,48,MC,5200,Further details,1500/1,Bet 365,Further details
Josh Teater,61,-,MC,MC,58,-,MC,MC^^,MC,MC,-,MC^,-,13,4,-,66,MC,-,-,-,63,-,-,5200,Further details,750/1,Bet 365,Further details
Kevin Chappell,23,-,-,MC,33,-,MC,MC^^,30,MC,-,-,-,40,MC,68,20,MC,-,8,-,-,-,MC,5200,Further details,500/1,Bet 365,Further details
Myles Creighton,8^,-,-,-,MC^,-,8^,-,-,-,MC^,32^,-,-,-,-,-,-,-,-,-,-,MC,MC,5200,Further details,750/1,Bet 365,Further details
Erik Barnes,2,-,WD,17,MC,-,58,MC^^,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,5200,Further details,400/1,Bet 365,Further details
Camilo Villegas,MC,MC,WD,-,MC,35,-,-,MC,-,MC,MC,-,MC,61,52,WD,22,49,54,-,-,MC,MC,5200,Further details,1000/1,Bet 365,Further details
Tyson Alexander,-,MC,MC,64,14,-,55,MC^^,52,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,5200,Further details,400/1,Bet 365,Further details
Wesley Bryan,MC,-,-,-,-,-,2,-,MC,MC,-,MC,-,-,-,-,-,-,-,-,DQ,-,MC,MC,5200,Further details,500/1,Bet 365,Further details
Kevin Kisner,MC,-,MC,MC,72,-,68,MC^^,MC,MC,-,65,-,59,10,-,9,-,26,-,MC,-,-,-,5100,Further details,2000/1,Bet 365,Further details
Jake Lane,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,4000/1,Bet 365,Further details
Marc-Olivier Plasse,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,4000/1,Bet 365,Further details
Ryan Brehm,55,-,72,53,MC,-,MC,3^^,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,-,-,MC,5100,Further details,1000/1,Bet 365,Further details
Etienne Papineau,67^,-,-,-,MC^,-,20^,-,-,-,15^,42^,-,-,-,-,-,-,-,-,-,-,-,MC,5100,Further details,750/1,Bet 365,Further details
