,Events,Av Score,M17,U17,O17,P17,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,2023 DraftKings,2023 Odds,Bookmaker,2023 Result
Stewart Cink,15,71.91,-,46,MC,-,-,-,24,4,MC,-,-,20,-,-,-,12,30,57,MC,MC,23,MC,MC,-,-,MC,6100,750/1,Bet 365,23
Gary Woodland,26,71.94,MC,50,70,22,MC,36,67,6,32,8,1,MC,58,MC,MC,40,38,50,MC,MC,34,10,MC,14,MC,49,7100,175/1,Bet 365,55
Richard Bland,6,71.95,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,67,-,MC,43,MC,-,-,-,6000,600/1,Bet 365,33
Ryan Fox,16,71.98,-,-,MC,54,-,41,39,27,-,MC,MC,16,-,MC,-,-,-,-,67,-,54,MC,MC,26,23,43,7400,90/1,Bet 365,52
Antoine Rozner,2,72.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,59,-,-,-,-,-,-,-,5800,500/1,Bet 365,20
Wyndham Clark,7,72.00,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,75,MC,-,-,-,MC,76,-,MC,1,8700,50/1,Bet 365,33
An Byeong-Hun,13,72.02,33,MC,MC,28,-,67,51,56,-,MC,16,-,22,MC,-,-,49,-,26,-,-,-,-,-,-,-,7000,125/1,Bet 365,23
Robert MacIntyre,11,72.02,-,-,-,-,-,-,-,-,-,-,-,6,66,56,-,12,49,35,8,23,77,-,34,-,MC,-,6800,60/1,Bet 365,71
Sam Burns,11,72.03,-,-,-,-,-,41,-,-,-,29,-,-,-,-,-,-,-,MC,76,MC,20,27,42,29,MC,32,8500,55/1,Bet 365,MC
Matt Wallace,16,72.04,-,MC,-,-,-,MC,MC,19,MC,3,12,51,77,43,46,34,55,MC,40,-,-,-,-,-,65,-,6000,400/1,Bet 365,MC
Thorbjorn Olesen,11,72.08,-,-,62,44,-,MC,12,56,21,64,MC,57,-,-,-,-,-,-,-,-,-,MC,-,-,MC,-,6600,250/1,Bet 365,MC
Talor Gooch,10,72.12,-,66,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,44,-,33,14,20,MC,34,34,MC,-,7800,70/1,Bet 365,MC
Tyrrell Hatton,26,72.14,MC,MC,MC,MC,44,6,51,10,56,48,21,6,MC,MC,MC,18,38,MC,MC,52,13,56,11,34,15,27,9400,22/1,Bet 365,20
Joaquin Niemann,18,72.15,-,MC,-,-,MC,-,-,71,-,MC,-,MC,MC,23,-,40,30,31,59,35,23,47,53,16,MC,32,7500,140/1,Bet 365,MC
Keegan Bradley,19,72.15,-,60,-,33,-,MC,79,42,43,29,MC,MC,MC,MC,-,-,17,-,MC,-,48,7,MC,23,29,MC,7600,110/1,Bet 365,MC
Adam Schenk,4,72.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,24,-,-,MC,MC,7200,300/1,Bet 365,MC
Branden Grace,18,72.18,27,50,6,MC,24,25,MC,27,58,MC,MC,51,-,MC,-,-,38,7,MC,-,MC,MC,-,-,-,-,6800,200/1,Bet 365,MC
Seamus Power,7,72.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,9,12,MC,46,MC,MC,7200,250/1,Bet 365,MC
Adrian Meronk,5,72.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,42,MC,40,MC,7200,150/1,Bet 365,23
Victor Perez,11,72.23,-,-,-,-,-,-,-,-,-,-,-,-,22,MC,46,MC,MC,MC,MC,-,-,MC,34,-,12,MC,6600,275/1,Bet 365,41
Davis Riley,4,72.25,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,13,31,-,-,MC,-,7000,350/1,Bet 365,MC
Matthew Southgate,4,72.25,-,-,6,-,-,MC,67,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,5600,500/1,Bet 365,23
Nick Taylor,6,72.25,-,-,-,-,-,-,-,-,-,-,43,-,MC,-,29,-,-,-,-,-,-,MC,-,-,MC,MC,7100,350/1,Bet 365,MC
Kurt Kitayama,11,72.27,-,-,-,-,-,-,-,-,-,64,-,MC,51,MC,-,-,MC,-,MC,-,-,MC,72,MC,4,MC,7200,200/1,Bet 365,60
Sungjae Im,16,72.29,-,-,-,-,-,MC,-,42,-,MC,-,MC,MC,22,2,MC,17,35,-,8,-,MC,81,16,MC,MC,8300,100/1,Bet 365,20
Charl Schwartzel,17,72.30,3,MC,62,48,MC,MC,MC,42,MC,-,-,-,58,-,25,26,MC,19,-,10,60,-,-,50,-,-,5800,600/1,Bet 365,MC
Siwoo Kim,25,72.32,MC,13,MC,WD,24,MC,67,MC,21,MC,MC,MC,13,MC,34,12,MC,40,-,39,60,MC,15,29,MC,39,7300,125/1,Bet 365,MC
Zach Johnson,23,72.34,MC,27,14,48,36,12,17,19,58,54,58,MC,MC,8,51,MC,MC,MC,-,MC,MC,-,MC,34,58,-,6000,750/1,Bet 365,55
Richie Ramsay,3,72.38,-,MC,22,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5900,400/1,Bet 365,64
Tom Hoge,11,72.39,-,-,-,-,-,-,-,-,-,-,43,-,58,-,-,-,64,46,-,39,9,MC,MC,MC,58,MC,6400,250/1,Bet 365,MC
