Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
"Blaine Hale, Jr.",-,-,-,-,-,-,44,52,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,2500/1,Bet 365,Further details
Braden Shattuck,72,-,-,-,-,-,-,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,2500/1,Bet 365,Further details
J.B. Holmes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,6000,Further details,2500/1,Bet 365,Further details
Josh Teater,-,MC^,MC,MC^,-,-,MC,MC,MC,MC,MC,-,-,MC,38,MC,-,-,-,6,59,MC,-,-,6000,Further details,1500/1,Bet 365,Further details
Paul Barjon,-,-,MC,-,-,-,MC,MC,67,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,-,6000,Further details,1500/1,Bet 365,Further details
Steve Bogdanoff,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,TBC,Bet 365,Further details
William Gordon,-,-,-,MC^,-,MC^,-,MC,MC,49,MC,-,-,-,-,-,-,-,-,-,27,MC,-,MC,6000,Further details,600/1,Bet 365,Further details
George Kneiser,45^,-,-,-,-,-,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,TBC,Bet 365,Further details
Nicholas Lindheim,-,-,-,-,-,-,31,MC,-,-,MC,-,-,-,-,-,-,MC,MC,MC,-,-,-,27,-,Further details,TBC,Bet 365,Further details
Anders Albertson,-,-,-,-,-,-,MC,MC,-,-,MC,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,Further details,TBC,Bet 365,Further details
Erik Barnes,-,MC,65,-,-,-,MC,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Further details,TBC,Bet 365,Further details
Raul Pereda,-,MC^,MC,60^,-,-,MC,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Further details,TBC,Bet 365,Further details
Scott Gutschewski,-,-,MC,-,-,-,MC,61,MC,64,MC,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,Further details,TBC,Bet 365,Further details
