Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Kelly Kraft,-,-,-,-,61,-,MC,MC,63,MC,55,-,-,-,-,-,-,-,-,MC,47,-,-,6000,1000/1,Bet 365,Further details,MC
Robert Streb,-,-,-,-,MC,MC,MC,-,MC,MC,MC,-,-,-,-,-,30,MC,MC,MC,-,MC,MC,6000,1500/1,Bet 365,Further details,MC
Jerry Kelly,-,-,-,-,MC,12^,-,-,-,4^,-,19^,-,MC,37,MC,17,19,MC,-,-,MC,-,6000,1500/1,Bet 365,Further details,54
Ryan Brehm,-,-,-,35,41,MC,MC,MC,MC,MC,14,MC,-,-,-,-,-,-,-,-,-,-,MC,6000,1250/1,Bet 365,Further details,MC
Nicolas Echavarria,-,-,-,-,12,MC,MC,MC,-,-,MC,1,-,-,-,-,-,-,-,-,-,-,-,-,500/1,Bet 365,Further details,MC
Harry Hall,-,-,-,-,27,41,MC,34,-,-,74,7,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Harry Higgs,-,-,-,-,MC,18,44,48,-,-,MC,7,-,-,-,-,-,-,-,-,-,29,MC,-,TBC,Bet 365,Further details,NR
Erik Van Rooyen,71,-,-,-,-,6,-,MC,50,-,MC,32,-,-,-,-,-,-,-,-,-,-,13,-,TBC,Bet 365,Further details,NR
Aaron Baddeley,-,-,-,-,7,50,MC,37,-,-,MC,34,-,MC,MC,MC,MC,MC,41,-,MC,-,-,-,500/1,Bet 365,Further details,72
Andrew Novak,-,-,-,-,12,MC,69,20,-,-,29,44,-,-,-,-,-,-,-,-,-,-,-,-,750/1,Bet 365,Further details,MC
Dylan Wu,-,-,-,-,MC,32,MC,29,-,-,10,48,-,-,-,-,-,-,-,-,-,-,-,-,600/1,Bet 365,Further details,35
Ryan Armour,-,-,-,-,MC,65,MC,58,-,-,63,61,-,-,-,-,-,-,-,MC,MC,55,-,-,600/1,Bet 365,Further details,MC
Ben Martin,-,-,-,-,31,MC,MC,13,-,-,5,-,-,-,-,-,4,MC,30,MC,-,-,-,-,250/1,Bet 365,Further details,54
Harrison Endycott,-,-,-,-,MC,22,MC,MC,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,750/1,Bet 365,Further details,MC
Ryan Moore,-,-,-,-,MC,MC,-,7,MC,-,MC,-,-,46,MC,26,MC,MC,53,30,20,35,-,-,TBC,Bet 365,Further details,NR
Erik Barnes,-,-,-,-,MC,MC,13,MC,-,-,49,MC,-,-,-,-,-,-,-,-,-,-,-,-,500/1,Bet 365,Further details,MC
